image_name,is_cropped,total_area,roi_area,num_contours
image.0096_with_target,False,23329,23329,3
image.6253_with_target,False,24752,24747,2
image.5199_with_target,False,23259,23259,3
image_8406_with_target,False,24693,24693,2
image.9234_with_target,False,23099,23099,2
image.4379_with_target,False,23459,23369,2
image.3662_with_target,False,23592,23592,2
image_7584_with_target,False,24773,24768,2
image_7950_with_target,False,23152,23147,2
image_3575_with_target,False,23849,23844,4
image.9706_with_target,False,24873,24868,2
image_4814_with_target,False,24803,24803,2
image.3840_with_target,False,23127,23127,2
image.8057_with_target,False,24858,24850,2
image.7514_with_target,False,23494,23412,3
image.4059_with_target,False,24830,24830,2
image.4814_with_target,False,24803,24803,2
image_5638_with_target,False,24721,24716,2
image.4690_with_target,False,23450,23450,3
image.9429_with_target,False,23429,23429,2
image.2751_with_target,False,23351,23351,2
image.1796_with_target,False,23402,23402,2
image_6691_with_target,False,24775,24775,2
image.1249_with_target,False,23298,23298,3
image_9428_with_target,False,23418,23418,2
image.2245_with_target,False,24945,24940,2
image.0946_with_target,False,23270,23265,7
image_4139_with_target,False,23431,23380,3
image.2351_with_target,False,24936,24936,2
image_1249_with_target,False,23298,23298,3
image_6756_with_target,False,23363,23363,3
image.5304_with_target,False,24937,24937,2
image_7634_with_target,False,24839,24839,2
image_9014_with_target,False,23405,23386,2
image_1032_with_target,False,23463,23387,2
image_2351_with_target,False,24936,24936,2
image_6117_with_target,False,23985,23985,2
image.7634_with_target,False,24839,24839,2
image_0108_with_target,False,23235,23235,4
image_6561_with_target,False,24828,24828,2
image.9106_with_target,False,23310,23305,3
image_4619_with_target,False,23412,23412,2
image.2367_with_target,False,23587,23587,3
image_2473_with_target,False,24732,24727,2
image_4379_with_target,False,23459,23369,2
image_0896_with_target,False,24883,24883,2
image_0946_with_target,False,23270,23265,7
image_9106_with_target,False,23310,23305,3
image_9234_with_target,False,23099,23099,2
image.9428_with_target,False,23418,23418,2
image.0896_with_target,False,24883,24883,2
image_4939_with_target,False,23176,23176,2
image_4690_with_target,False,23450,23450,3
image.2309_with_target,False,23427,23427,7
image.6301_with_target,False,24841,24841,2
image.4139_with_target,False,23431,23380,3
image.5197_with_target,False,24865,24850,2
image_6291_with_target,False,24835,24830,2
image.0413_with_target,False,23267,23267,3
image.2070_with_target,False,23351,23351,9
image_4059_with_target,False,24830,24830,2
image.1033_with_target,False,23433,23353,2
image.2854_with_target,False,23207,23207,3
image_0413_with_target,False,23267,23267,3
image_2854_with_target,False,23207,23207,3
image_1033_with_target,False,23433,23353,2
image.5947_with_target,False,24795,24795,2
image_3840_with_target,False,23127,23127,2
image.4138_with_target,False,23432,23372,3
image_6301_with_target,False,24841,24841,2
image_9460_with_target,False,23254,23254,5
image.2390_with_target,False,25107,25107,2
image_2367_with_target,False,23587,23587,3
image_1303_with_target,False,24879,24879,2
image_5947_with_target,False,24795,24795,2
image_5199_with_target,False,23259,23259,3
image_2751_with_target,False,23351,23351,2
image.9724_with_target,False,24942,24942,2
image_2070_with_target,False,23351,23351,9
image_7514_with_target,False,23494,23412,3
image_9724_with_target,False,24942,24942,2
image_8057_with_target,False,24858,24850,2
image.3575_with_target,False,23849,23844,4
image_9429_with_target,False,23429,23429,2
image.0686_with_target,False,23125,23125,2
image_0461_with_target,False,24829,24829,2
image.6756_with_target,False,23363,23363,3
image.7350_with_target,False,24846,24832,2
image_2547_with_target,False,23406,23406,2
image.7584_with_target,False,24773,24768,2
image.0461_with_target,False,24829,24829,2
image_6253_with_target,False,24752,24747,2
image.8406_with_target,False,24693,24693,2
image_0714_with_target,False,23535,23535,2
image_5197_with_target,False,24865,24850,2
image_2390_with_target,False,25107,25107,2
image.2547_with_target,False,23406,23406,2
image.4619_with_target,False,23412,23412,2
image.2533_with_target,False,24799,24799,2
image.4841_with_target,False,23353,23348,2
image.7513_with_target,False,23541,23453,3
image_6444_with_target,False,23166,23166,2
image_4715_with_target,False,25070,25070,2
image.1303_with_target,False,24879,24879,2
image_3662_with_target,False,23592,23592,2
image_2533_with_target,False,24799,24799,2
image.4715_with_target,False,25070,25070,2
image_7350_with_target,False,24846,24832,2
image.9888_with_target,False,24993,24993,2
image_0156_with_target,False,23258,23258,2
image_5320_with_target,False,24731,24731,2
image.7610_with_target,False,24805,24805,2
image.8009_with_target,False,24984,24949,2
image.4939_with_target,False,23176,23176,2
image_0096_with_target,False,23329,23329,3
image.6691_with_target,False,24775,24775,2
image.5638_with_target,False,24721,24716,2
image_1796_with_target,False,23402,23402,2
image.0108_with_target,False,23235,23235,4
image_9888_with_target,False,24993,24993,2
image.6561_with_target,False,24828,24828,2
image.1032_with_target,False,23463,23387,2
image.0156_with_target,False,23258,23258,2
image_2309_with_target,False,23427,23427,7
image_8009_with_target,False,24984,24949,2
image_0686_with_target,False,23125,23125,2
image.9460_with_target,False,23254,23254,5
image_5010_with_target,False,23495,23490,3
image_5304_with_target,False,24937,24937,2
image.6117_with_target,False,23985,23985,2
image_4841_with_target,False,23353,23348,2
image.0714_with_target,False,23535,23535,2
image_9706_with_target,False,24873,24868,2
image_7610_with_target,False,24805,24805,2
image.4139_with_target,False,23431,23380,3
image.5304_with_target,False,24937,24937,2
image.2547_with_target,False,23406,23406,2
image.9429_with_target,False,23429,23429,2
image.4379_with_target,False,23459,23369,2
image.3575_with_target,False,23849,23844,4
image.3662_with_target,False,23592,23592,2
image.9460_with_target,False,23254,23254,5
image.5010_with_target,False,23495,23490,3
image.0714_with_target,False,23535,23535,2
image.9706_with_target,False,24873,24868,2
image.1032_with_target,False,23463,23387,2
image.9888_with_target,False,24993,24993,2
image.9014_with_target,False,23405,23386,2
image.1249_with_target,False,23298,23298,3
image.9234_with_target,False,23099,23099,2
image.0461_with_target,False,24829,24829,2
image.7950_with_target,False,23152,23147,2
image.0413_with_target,False,23267,23267,3
image.1033_with_target,False,23433,23353,2
image.0156_with_target,False,23258,23258,2
image.6756_with_target,False,23363,23363,3
image.8009_with_target,False,24984,24949,2
image.2309_with_target,False,23427,23427,7
image.2070_with_target,False,23351,23351,9
image.4939_with_target,False,23176,23176,2
image.2533_with_target,False,24799,24799,2
image.7514_with_target,False,23494,23412,3
image.6301_with_target,False,24841,24841,2
image.1796_with_target,False,23402,23402,2
image.0686_with_target,False,23125,23125,2
image.7584_with_target,False,24773,24768,2
image.0946_with_target,False,23270,23265,7
image.4715_with_target,False,25070,25070,2
image.8057_with_target,False,24858,24850,2
image.6253_with_target,False,24752,24747,2
image.4814_with_target,False,24803,24803,2
image.2854_with_target,False,23207,23207,3
image.2367_with_target,False,23587,23587,3
image.1303_with_target,False,24879,24879,2
image.6561_with_target,False,24828,24828,2
image.9724_with_target,False,24942,24942,2
image.7634_with_target,False,24839,24839,2
image.0108_with_target,False,23235,23235,4
image.8406_with_target,False,24693,24693,2
image.4690_with_target,False,23450,23450,3
image.4841_with_target,False,23353,23348,2
image.4059_with_target,False,24830,24830,2
image.2473_with_target,False,24732,24727,2
image.6117_with_target,False,23985,23985,2
image.0896_with_target,False,24883,24883,2
image.7610_with_target,False,24805,24805,2
image.2245_with_target,False,24945,24940,2
image.3840_with_target,False,23127,23127,2
image.9428_with_target,False,23418,23418,2
image.5638_with_target,False,24721,24716,2
image.5947_with_target,False,24795,24795,2
image.5199_with_target,False,23259,23259,3
image.2351_with_target,False,24936,24936,2
image.4138_with_target,False,23432,23372,3
image.6444_with_target,False,23166,23166,2
image.7350_with_target,False,24846,24832,2
image.5197_with_target,False,24865,24850,2
image.5320_with_target,False,24731,24731,2
image.0096_with_target,False,23329,23329,3
image.4619_with_target,False,23412,23412,2
