image_name,is_cropped,total_area,roi_area,num_contours
image.2837_with_target,True,5500,5500,4
image.2845_with_target,True,4014,4014,3
image.2880_with_target,True,5162,5162,3
image.3144_with_target,True,5400,5400,3
image.3290_with_target,True,3852,3852,3
image.3387_with_target,True,5723,5723,3
image.3626_with_target,True,4048,4048,4
image.3812_with_target,True,5147,5147,3
image.3892_with_target,True,5612,5612,3
image.4148_with_target,True,4008,4008,4
image.4153_with_target,True,4081,4081,3
image.4191_with_target,True,3895,3895,3
image.4395_with_target,True,4061,4061,3
image.4493_with_target,True,3887,3887,3
image.4512_with_target,True,5343,5343,3
image.4552_with_target,True,5549,5549,3
image.4624_with_target,True,5496,5496,3
image.4905_with_target,True,3929,3929,4
image.5606_with_target,True,5483,5483,3
image.5709_with_target,True,3828,3828,4
image.5916_with_target,True,3970,3970,3
image.5917_with_target,True,3950,3950,3
image.6014_with_target,True,3977,3977,4
image.6015_with_target,True,3974,3974,5
image.6284_with_target,True,5364,5364,3
image.6807_with_target,True,5496,5496,3
image.6842_with_target,True,5544,5544,3
image.6902_with_target,True,3965,3965,4
image.6904_with_target,True,5325,5325,3
image.6977_with_target,True,5578,5578,3
image.6980_with_target,True,5322,5322,3
image.7009_with_target,True,4029,4029,4
image.7175_with_target,True,5545,5545,3
image.7188_with_target,True,4645,4645,4
image.7190_with_target,True,3833,3833,4
image.7415_with_target,True,5370,5370,3
image.7455_with_target,True,4038,4038,7
image.7676_with_target,True,4081,4081,3
image.7707_with_target,True,4062,4062,4
image.7756_with_target,True,5434,5434,3
image.7840_with_target,True,3924,3924,4
image.7864_with_target,True,3949,3949,2
image.7888_with_target,True,5484,5484,3
image.7923_with_target,True,4106,4106,3
image.7984_with_target,True,5340,5340,3
image.8039_with_target,True,3988,3988,3
image.8065_with_target,True,5398,5398,3
image.8184_with_target,True,3993,3993,4
image.8336_with_target,True,3890,3890,4
image.8504_with_target,True,5397,5397,3
image.8607_with_target,True,3845,3845,4
image.8688_with_target,True,3821,3821,3
image.9034_with_target,True,4141,4141,3
image.9035_with_target,True,5449,5449,3
image.9441_with_target,True,5376,5376,3
image.9557_with_target,True,5475,5475,3
image.9923_with_target,True,3995,3995,4
image.9985_with_target,True,3884,3884,4
image.0096_with_target,False,777,502,12
image.0108_with_target,False,197,19,2
image.0156_with_target,False,218,125,1
image.0413_with_target,False,216,142,2
image.0461_with_target,False,2008,1777,11
image.0686_with_target,False,114,16,2
image.0714_with_target,False,507,390,4
image.0896_with_target,False,1959,1814,5
image.0946_with_target,False,206,117,11
image.1032_with_target,False,388,187,1
image.1033_with_target,False,392,182,2
image.1249_with_target,False,340,201,3
image.1303_with_target,False,1958,1817,5
image.1796_with_target,False,264,175,1
image.2070_with_target,False,205,64,10
image.2245_with_target,False,2084,1844,8
image.2309_with_target,False,488,316,12
image.2351_with_target,False,1977,1816,2
image.2367_with_target,False,463,376,6
image.2390_with_target,False,2042,1948,2
image.2473_with_target,False,1688,1612,2
image.2533_with_target,False,1837,1670,8
image.2547_with_target,False,368,237,2
image.2751_with_target,False,366,228,6
image.2854_with_target,False,136,29,3
image.3575_with_target,False,704,626,4
image.3662_with_target,False,411,307,3
