image_name,is_cropped,total_area,roi_area,processing_time
image.8006_with_target,False,19236,19226,-1740975896333.6362
image.5538_with_target,False,19226,19218,-1740975896333.3093
image.1066_with_target,False,19365,19360,-1740975896333.5146
image.0615_with_target,False,19339,19326,-1740975896333.6282
image.3832_with_target,False,19226,19226,-1740975896333.6443
image.9170_with_target,False,19371,19366,-1740975896332.1316
image.8894_with_target,False,19360,19347,-1740975896331.7766
image.7223_with_target,False,19212,19207,-1740975896333.6216
image.7737_with_target,False,20902,20859,-1740975896333.6072
image.8672_with_target,False,20757,20679,-1740975896333.2568
image.1925_with_target,False,19434,19429,-1740975896332.6777
image.0858_with_target,False,19670,19665,-1740975896333.5894
image.8902_with_target,False,19790,19776,-1740975896333.5798
image.0711_with_target,False,19345,19340,-1740975896333.1167
image.4412_with_target,False,19246,19233,-1740975896333.5884
image.3279_with_target,False,19340,19330,-1740975896328.579
image.9027_with_target,False,19225,19211,-1740975896333.1462
image.3543_with_target,False,19380,19372,-1740975896333.3813
image.1045_with_target,False,19323,19318,-1740975896333.6846
image.7703_with_target,False,21032,21014,-1740975896333.5232
image.0873_with_target,False,20665,20665,-1740975896333.4143
image.7848_with_target,False,20689,20681,-1740975896333.701
image.5777_with_target,False,19446,19446,-1740975896333.5732
image.7489_with_target,False,19755,19732,-1740975896333.4604
image.0394_with_target,False,19348,19314,-1740975896333.5503
image.0404_with_target,False,19234,19234,-1740975896333.6318
image.8435_with_target,False,19671,19671,-1740975896333.3645
image.6237_with_target,False,19680,19600,-1740975896333.0962
image.9755_with_target,False,19314,19306,-1740975896333.4077
image.3913_with_target,False,19255,19255,-1740975896333.3372
image.5957_with_target,False,20140,20029,-1740975896333.7036
image.2886_with_target,False,20649,20644,-1740975896333.4546
image.1891_with_target,False,19610,19602,-1740975896333.5835
image.3750_with_target,False,20648,20648,-1740975896333.5835
image.9776_with_target,False,20651,20646,-1740975896332.5488
image.5724_with_target,False,19277,19243,-1740975896333.6484
image.2579_with_target,False,19307,19277,-1740975896332.9612
image.4013_with_target,False,19707,19697,-1740975896333.6587
image.2444_with_target,False,20594,20551,-1740975896333.725
image.1584_with_target,True,83,83,-1740975896334.224
image.2375_with_target,True,1403,1403,-1740975896334.2334
image.1081_with_target,True,5,5,-1740975896334.3093
image.0401_with_target,True,590,590,-1740975896333.691
image.4744_with_target,True,97,97,-1740975896334.2776
image.8553_with_target,True,10,10,-1740975896334.2874
image.5135_with_target,True,125,125,-1740975896334.379
image.6567_with_target,True,28,28,-1740975896334.139
image.4031_with_target,True,540,540,-1740975896333.6729
image.0693_with_target,True,49,49,-1740975896334.37
image.7884_with_target,True,1367,1367,-1740975896334.2898
image.3423_with_target,True,5,5,-1740975896334.3782
image.4586_with_target,True,65,65,-1740975896333.5474
image.9419_with_target,True,5,5,-1740975896334.3403
image.7031_with_target,True,5,5,-1740975896334.337
image.3402_with_target,True,5,5,-1740975896334.3752
image.8347_with_target,True,99,99,-1740975896334.3647
image.3307_with_target,True,1376,1376,-1740975896334.2878
image.5821_with_target,True,5,5,-1740975896334.379
image.0319_with_target,True,134,134,-1740975896334.2534
image.0903_with_target,True,117,117,-1740975896334.3252
image.2415_with_target,True,52,52,-1740975896334.268
image.1747_with_target,True,1369,1369,-1740975896333.9214
image.4480_with_target,True,701,701,-1740975896334.12
image.3682_with_target,True,510,510,-1740975896334.2698
image.7199_with_target,True,1448,1448,-1740975896334.3452
image.7402_with_target,True,5,5,-1740975896334.3596
image.9718_with_target,True,118,118,-1740975896334.2969
image.8388_with_target,True,343,343,-1740975896333.552
image.9847_with_target,True,5,5,-1740975896333.9612
image.2274_with_target,True,36,36,-1740975896333.864
image.0418_with_target,True,26,26,-1740975896334.2896
image.6230_with_target,True,5,5,-1740975896334.3018
image.9426_with_target,True,94,94,-1740975896334.1807
image.7347_with_target,True,145,145,-1740975896333.9
image.2619_with_target,True,1414,1414,-1740975896334.391
image.1514_with_target,True,5,5,-1740975896334.3586
image.6575_with_target,True,39,39,-1740975896334.3723
image.9101_with_target,True,5,5,-1740975896333.8281
image.3301_with_target,True,63,63,-1740975896334.321
image.6269_with_target,True,1411,1411,-1740975896334.252
image.0031_with_target,True,277,277,-1740975896334.3047
image.2920_with_target,True,1427,1427,-1740975896334.3926
image.4442_with_target,True,127,127,-1740975896334.2417
image.4956_with_target,True,42,42,-1740975896334.1018
image.9853_with_target,True,258,258,-1740975896334.0696
image.6108_with_target,True,5,5,-1740975896333.7861
